"ref_audit","ref_process","ref_control","score","state","justification","id","dt_registered","ref_owner","rev"
"51","128","121","105.93","2","","437","2021-08-03","2","0"
"51","128","145","150","2","","438","2021-08-03","2","0"
"52","148","84","64.95","2","","441","2022-02-10","255","0"
"52","151","136","101.29","2","Comentarios","442","2022-02-10","255","0"
"52","151","137","92.01","2","","443","2022-02-10","255","0"
"52","152","124","115.98","2","Informaciones","444","2022-02-10","255","0"
"52","152","138","100.52","2","","445","2022-02-10","255","0"
"52","152","139","61.08","2","","446","2022-02-10","255","0"
"52","153","140","101.29","2","","447","2022-02-10","255","0"
"52","157","130","105.15","2","","448","2022-02-10","255","0"
"0","188","78","150","0","","449","2022-02-10","255","0"
"0","188","46","150","0","","450","2022-02-10","255","0"
